filename,size,size_gb
chunk_0-00506-of-00546.parquet,48616082,0.045
chunk_0-00507-of-00546.parquet,51846588,0.048
chunk_0-00508-of-00546.parquet,43143144,0.04
chunk_0-00509-of-00546.parquet,49116112,0.046
chunk_0-00510-of-00546.parquet,41399372,0.039
chunk_0-00511-of-00546.parquet,51747612,0.048
chunk_0-00512-of-00546.parquet,45054260,0.042
chunk_0-00513-of-00546.parquet,55609153,0.052
chunk_0-00514-of-00546.parquet,42638128,0.04
chunk_0-00515-of-00546.parquet,46640206,0.043
chunk_0-00516-of-00546.parquet,47256846,0.044
chunk_0-00517-of-00546.parquet,46187347,0.043
chunk_0-00518-of-00546.parquet,42597151,0.04
chunk_0-00519-of-00546.parquet,41587692,0.039
chunk_0-00520-of-00546.parquet,39506489,0.037
chunk_0-00521-of-00546.parquet,36359853,0.034
chunk_0-00522-of-00546.parquet,44289673,0.041
chunk_0-00523-of-00546.parquet,46353962,0.043
chunk_0-00524-of-00546.parquet,42979205,0.04
chunk_0-00525-of-00546.parquet,41834553,0.039
chunk_0-00526-of-00546.parquet,42023084,0.039
chunk_0-00527-of-00546.parquet,45397650,0.042
chunk_0-00528-of-00546.parquet,41983970,0.039
chunk_0-00529-of-00546.parquet,43548821,0.041
chunk_0-00530-of-00546.parquet,41558452,0.039
chunk_0-00531-of-00546.parquet,42097856,0.039
chunk_0-00532-of-00546.parquet,38299414,0.036
chunk_0-00533-of-00546.parquet,46781969,0.044
chunk_0-00534-of-00546.parquet,40894512,0.038
chunk_0-00535-of-00546.parquet,38232723,0.036
